"Make","Model","Style","CHStyleId","Year","Milage","RealPrice","Edmund's Price","KBB Price","CarGurus Price"
"Acura","ILX","4dr Sdn w/AcuraWatch Plus Pkg","D1FK6PW46V81",2016,"\N",21287,NA,"22153",NA
"Acura","RDX","FWD 4dr","JYAOXBX6X83U",2016,"\N",27714,NA,NA,NA
"Acura","MDX","FWD 4dr w/AcuraWatch Plus","S4J1ESR4B2EG",2016,"\N",32451,NA,"41879",NA
"Alfa Romeo","4C","2dr Conv Spider","KKI0UW5BK53Z",2016,"\N",45669,NA,NA,NA
"Alfa Romeo","Giulia","Ti RWD","1SMAXXDO9L0H",2017,"\N",39097,NA,NA,NA
"Alfa Romeo","4C","Coupe","TCGKBTGRZHZN",2017,"\N",55900,NA,NA,NA
"Audi","A4","2.0 TFSI Auto Premium FWD","QW6FUPNMA6TC",2017,"\N",32174,NA,NA,NA
"Audi","A3","2.0 TFSI Premium FWD","TLZJGRI7I4K7",2017,"\N",28141,NA,NA,NA
"Audi","A3","2dr Cabriolet FWD 1.8T Prestige","R1898P1WKRFR",2016,"\N",26352,NA,NA,NA
"BMW","i3","4dr HB","0830WFGJWD32",2016,"\N",29945,NA,NA,NA
"BMW","5 Series","4dr Sdn 550i xDrive AWD","6FJF6KI66SZC",2016,"\N",44091,NA,NA,NA
"BMW","3 Series","4dr Sdn 328d RWD","2LSP7W5NOPBI",2016,"\N",31074,NA,NA,NA
"Buick","Encore","FWD 4dr","0HJ3W2QRR38W",2017,"\N",22990,NA,NA,NA
"Buick","Envision","AWD 4dr Premium II","RBQERPSBME5S",2016,"\N",34738,NA,NA,NA
"Buick","Encore","FWD 4dr Leather","4D1TL7Q0PY2G",2016,"\N",22129,NA,NA,NA
"Chevrolet","Camaro","2dr Conv LT w/2LT","23PY0DNFX6UY",2017,"\N",30003,NA,NA,NA
"Chevrolet","Volt","5dr HB Premier","1FJ23AMFN5PT",2016,"\N",22929,NA,NA,NA
"Chevrolet","Camaro","2dr Conv ZL1","T1QKAECE2IUJ",2017,"\N",60426,NA,NA,NA
"Chrysler","200","4dr Sdn Limited FWD","3TRP8YUGBTPE",2016,"\N",14686,NA,NA,NA
"Chrysler","200","4dr Sdn Limited Platinum FWD","0U7NONLFRKJ5",2016,"\N",16316,NA,NA,NA
"Chrysler","300","4dr Sdn 300S Alloy Edition AWD","2EGVCHL5GON5",2016,"\N",25714,NA,NA,NA
"Dodge","Charger","4dr Sdn SE RWD","S1SWKOV4R4JO",2016,"\N",17982,NA,NA,NA
"Dodge","Grand Caravan","4dr Wgn SXT Plus","7DVJR1ZZW0UA",2016,"\N",17453,NA,NA,NA
"Dodge","Charger","Daytona 392 RWD","0MQSIY4S8B0C",2017,"\N",30922,NA,NA,NA
"FIAT","500c","2dr Conv Pop","C17M1M4B5RNT",2016,"\N",14134,NA,NA,NA
"FIAT","500X","AWD 4dr Trekking","0I1Q42XTQLRC",2016,"\N",18583,NA,NA,NA
"FIAT","500X","Trekking AWD","4CWL93SUA4QV",2017,"\N",20136,NA,NA,NA
"Ford","Mustang","EcoBoost Premium Fastback","2T5K265T8OA9",2017,"\N",30195,NA,NA,NA
"Ford","Focus","4dr Sdn SE","ZCTZ3KMLECCG",2016,"\N",12498,NA,NA,NA
"Ford","Taurus","4dr Sdn SEL AWD","1R7ZWYTPLEXL",2016,"\N",19835,NA,NA,NA
