Make,Model,Style,CHStyleId,Year,Milage,RealPrice,Edmund's Price,KBB Price,CarGurus Price
Acura,ILX,4dr Sdn w/AcuraWatch Plus Pkg,D1FK6PW46V81,2016,\N,21287,18969,22153,20653
Acura,RDX,FWD 4dr,JYAOXBX6X83U,2016,\N,27714,27748,29423,30374
Acura,MDX,FWD 4dr w/AcuraWatch Plus,S4J1ESR4B2EG,2016,\N,32451,35891,41879,38263
Alfa Romeo,4C,2dr Conv Spider,KKI0UW5BK53Z,2016,\N,45669,52977,46544,52476
Alfa Romeo,Giulia,Ti RWD,1SMAXXDO9L0H,2017,\N,39097,33815,NA,39822
Alfa Romeo,4C,Coupe,TCGKBTGRZHZN,2017,\N,55900,NA,NA,NA
Audi,A4,2.0 TFSI Auto Premium FWD,QW6FUPNMA6TC,2017,\N,32174,27224,28045,31121
Audi,A3,2.0 TFSI Premium FWD,TLZJGRI7I4K7,2017,\N,28141,22647,NA,27308
Audi,A3,2dr Cabriolet FWD 1.8T Prestige,R1898P1WKRFR,2016,\N,26352,31305,NA,32720
BMW,i3,4dr HB,0830WFGJWD32,2016,\N,29945,22475,22573,22088
BMW,5 Series,4dr Sdn 550i xDrive AWD,6FJF6KI66SZC,2016,\N,44091,47396,53303,54325
BMW,3 Series,4dr Sdn 328d RWD,2LSP7W5NOPBI,2016,\N,31074,25623,28539,29014
Buick,Encore,FWD 4dr,0HJ3W2QRR38W,2017,\N,22990,25333,18653,22372
Buick,Envision,AWD 4dr Premium II,RBQERPSBME5S,2016,\N,34738,31307,29875,35173
Buick,Encore,FWD 4dr Leather,4D1TL7Q0PY2G,2016,\N,22129,20176,21620,21754
Chevrolet,Camaro,2dr Conv LT w/2LT,23PY0DNFX6UY,2017,\N,30003,27780,24947,NA
Chevrolet,Volt,5dr HB Premier,1FJ23AMFN5PT,2016,\N,22929,22587,22333,26380
Chevrolet,Camaro,2dr Conv ZL1,T1QKAECE2IUJ,2017,\N,60426,56863,31806,NA
Chrysler,200,4dr Sdn Limited FWD,3TRP8YUGBTPE,2016,\N,14686,13587,11595,14842
Chrysler,200,4dr Sdn Limited Platinum FWD,0U7NONLFRKJ5,2016,\N,16316,15445,11993,15799
Chrysler,300,4dr Sdn 300S Alloy Edition AWD,2EGVCHL5GON5,2016,\N,25714,20661,21595,24331
Dodge,Charger,4dr Sdn SE RWD,S1SWKOV4R4JO,2016,\N,17982,16489,16718,19854
Dodge,Grand Caravan,4dr Wgn SXT Plus,7DVJR1ZZW0UA,2016,\N,17453,17111,17451,20227
Dodge,Charger,Daytona 392 RWD,0MQSIY4S8B0C,2017,\N,30922,38748,NA,42304
FIAT,500c,2dr Conv Pop,C17M1M4B5RNT,2016,\N,14134,NA,10304,NA
FIAT,500X,AWD 4dr Trekking,0I1Q42XTQLRC,2016,\N,18583,14046,13625,17101
FIAT,500X,Trekking AWD,4CWL93SUA4QV,2017,\N,20136,19489,NA,20146
Ford,Mustang,EcoBoost Premium Fastback,2T5K265T8OA9,2017,\N,30195,21474,21476,25559
Ford,Focus,4dr Sdn SE,ZCTZ3KMLECCG,2016,\N,12498,11036,10490,13433
Ford,Taurus,4dr Sdn SEL AWD,1R7ZWYTPLEXL,2016,\N,19835,16757,18202,21726
GMC,Acadia,AWD 4dr SLE w/SLE-1,1ZG1RNG184TK,2016,\N,31382,25317,23831,26075
GMC,Yukon XL,2WD 4dr SLE,27KKA8JOZJ3F,2016,\N,50155,36005,37622,43537
GMC,Yukon,2WD 4dr Denali,40EOF7VHAORO,2016,\N,49036,47387,53934,57702
Honda,Civic,4dr CVT Touring,8AR4Q41FH482,2016,\N,16934,21045,17554,22585
Honda,Civic,EX-T Manual,2A1EVVLISG8K,2017,\N,19491,18398,20698,NA
Honda,CR-V,EX 2WD,0U6GZ1V64Y27,2017,\N,24447,23940,27934,22688
Hyundai,Santa Fe,FWD 4dr SE,LQA7BP5F0I8B,2016,\N,21117,19342,18532,23082
Hyundai,Santa Fe,SE Ultimate 3.3L Automatic AWD,W16OH8E8UWO0,2017,\N,36405,31639,32215,34950
Hyundai,Tucson,Sport AWD,22086FPTJTL2,2017,\N,21288,22709,18012,25180
Jeep,Renegade,Latitude 4x4,62UV8FYJO7H6,2017,\N,21188,14835,17234,NA
Jeep,Cherokee,4WD 4dr Latitude,FEKM4RSRW0QO,2016,\N,18779,18225,17641,20826
Jeep,Compass,FWD 4dr Sport,0Y9XPIAXH94X,2016,\N,13896,11876,11963,17264
Kia,Rio,5dr HB Auto EX,BRIKKQJPETOP,2016,\N,10658,10848,9435,11969
Kia,Sorento,AWD 4dr 3.3L SXL,3AGKI066ZIXY,2016,\N,31176,28518,28876,32060
Kia,Sportage,LX FWD,EVI5MAUCNXDV,2017,\N,19011,16805,15685,19897
Land Rover,Range Rover,V8 Supercharged Autobiography LWB,6RP2X0RM4LAC,2017,\N,131396,86046,NA,124287
Land Rover,Range Rover Sport,V6 Supercharged SE,CX778NBKBL2M,2017,\N,59085,64146,NA,65485
Land Rover,Range Rover Evoque,2dr Cpe SE Premium,2NJWOM9PT0UI,2016,\N,35639,34233,NA,37679
Lincoln,MKZ,4dr Sdn FWD,1DKW2HA04FO7,2016,\N,24180,19984,20922,23956
Lincoln,MKC,FWD 4dr Reserve,97NH8KPNNS0R,2016,\N,28749,26468,28570,30709
Lincoln,MKX,AWD 4dr Reserve,0RSETOH7U64N,2016,\N,34017,32513,34800,35854
Maserati,Levante,S 3.0L,J6CE4AHIT52Z,2017,\N,72831,NA,65049,84454
Maserati,Levante,3.0L,PXS6YKMF0SN0,2017,\N,62161,NA,66730,78165
Maserati,Ghibli,4dr Sdn S Q4,F4G272BV6MOP,2016,\N,55211,NA,49885,52699
Mazda,Mazda3,4dr Sdn Auto i Touring,DJXRU4UZ5NVH,2016,\N,15188,14873,13318,16168
Mazda,Mazda6,Sport Auto,710XJVZXDMP9,2017,\N,20942,16735,16397,20268
Mazda,CX-5,2016.5 FWD 4dr Man Sport,1R1N985NYEIE,2016,\N,21663,15405,15484,18711
Mercedes-Benz,G-Class,4MATIC 4dr AMG G65,YJPQQI7QVUT1,2016,\N,151005,151240,161738,118703
Mercedes-Benz,CLA,4dr Sdn AMG CLA45 4MATIC,K6WQ2I4BWEW6,2016,\N,30200,35242,26911,44266
Mercedes-Benz,B-Class,4dr HB Electric Drive,4UKBCP1ETG60,2016,\N,28725,31259,28484,NA
MINI,Countryman,Cooper ALL4,4U20941MIY0S,2017,\N,28100,23412,NA,32704
MINI,Cooper,2dr S,140LVE2526B3,2016,\N,25968,18086,NA,22530
MINI,Convertible,John Cooper Works 2 Door,Z6OSUG09ZAOH,2017,\N,35600,27944,24021,NA
Mitsubishi,Mirage G4,SE CVT,1Z18EOYL2Z1J,2017,\N,13940,12591,8689,12281
Mitsubishi,Mirage G4,ES Manual,5R7VWORP1EW3,2017,\N,12401,10115,7133,11341
Mitsubishi,Outlander Sport,AWC 4dr CVT 2.4 GT,3894DC1KGXFY,2016,\N,17474,18215,19048,17445
Nissan,Murano,FWD 4dr Platinum,K8UHIMXFLMO3,2016,\N,27688,26855,29343,32274
Nissan,Versa Note,5dr HB CVT 1.6 SV,7I424O6V5QSV,2016,\N,9101,10910,8700,11928
Nissan,Versa,S Automatic,ULWDY2UIO9OH,2017,\N,12312,9618,8405,12012
Ram,1500,"2WD Quad Cab 140.5"" Big Horn",D053DSM88TTI,2016,\N,23310,23974,27232,25124
Ram,2500,"4WD Crew Cab 169"" Longhorn Limited",05WDJRC5IG68,2016,\N,37319,41937,52528,NA
Ram,1500,"2WD Crew Cab 140.5"" SLT",3JTBRE9O1DJT,2016,\N,20515,25024,22039,27806
Subaru,Legacy,4dr Sdn 2.5i,19IDEPNFHHB4,2016,\N,16048,15964,16327,18913
Subaru,Crosstrek,5dr Man 2.0i,AU95ZDONEDY0,2016,\N,20339,18631,19939,21586
Subaru,Forester,4dr CVT 2.5i PZEV,142B0X3KJXTS,2016,\N,20619,19255,19029,21157
Toyota,Avalon,4dr Sdn Limited,2HJ9NSWW2XXO,2016,\N,24417,26347,26676,29009
Toyota,Sienna,LE FWD 8-Passenger,0F8E566MGX1M,2017,\N,31873,27264,26468,28869
Toyota,Tacoma,4WD Double Cab V6 MT TRD Off Road,0V1PAVANWRT7,2016,\N,23663,29897,32761,31475
Volkswagen,Jetta,1.8T SEL Premium Auto,0DUORTK6AVO6,2017,\N,16518,18951,13814,19974
Volkswagen,Passat,4dr Sdn 1.8T Auto S,2WYJE4CIHZEZ,2016,\N,14869,13948,11839,15128
Volkswagen,Jetta,4dr Auto 1.4T S w/Technology,0PTIPC05VPTJ,2016,\N,11776,12279,11595,12821
Aston Martin,DB9,2dr Cpe Auto GT Bond Edition,TN8MPQJ3EP1X,2016,\N,163068,NA,NA,NA
Aston Martin,Rapide S,4dr Sdn Auto,4PULB5ZQIQ94,2016,\N,175371,NA,NA,NA
Bentley,Bentayga,W12 AWD,0FCDK029KBMP,2017,\N,206190,NA,NA,NA
Cadillac,CT6,4dr Sdn 3.6L Luxury AWD,4MWK1CSUZC6Q,2016,\N,57389,43611,44035,46100
Ferrari,488 GTB,2dr Cpe,O9YQAC6N9BZD,2016,\N,245400,NA,NA,267480
Jaguar,F-TYPE,2dr Conv Auto S AWD,SW3PHIGVCVW2,2016,\N,61706,58622,58770,61916
Lamborghini,Aventador,2dr Conv LP 750-4 Superveloce,47O74CXNCVCM,2016,\N,413934,NA,NA,200
Lexus,GX,GX 460 Luxury 4WD,118UDXC2UQM9,2017,\N,49880,55070,46939,60102
Lexus,RX,RX 350 F Sport AWD,AIVBGOTH7F95,2017,\N,45378,43621,41464,50469
McLaren,675LT,2dr Conv Spider,8O3VTUSF3AB8,2016,\N,369702,NA,NA,192415
Scion,FR-S,2dr Cpe Auto Release Series 2.0,8IKQWMTYCTIR,2016,\N,22315,22500,18102,21839
Scion,iM,5dr HB CVT,I71AJ431SC88,2016,\N,13800,13073,12791,15174
Tesla,Model X,AWD 4dr 90D,KZT8ZQHXLCRO,2016,\N,94455,74833,82630,86055
Volvo,XC90,T8 Twin Engine Plug-In Hybrid 7-Pass Excellence,EL4Y7Q2EM4WX,2017,\N,94410,87310,47604,NA
