"","Make","Model","Style","CHStyleId","Year","Milage","RealPrice","Edmund's Price","KBB Price","CarGurus Price"
"1","Honda","Accord","2dr Cpe LX Auto","46O0LSBFSR3M",1997,"\N",2136,"1272",1055,"NA"
"2","Honda","Accord","4dr Sdn EX Auto w/Leather","646HJR05VZ2C",1997,"\N",2867,"1339",1389,"NA"
"3","Honda","Accord","4dr Sdn EX Manual w/Leather","0F7WRTM3W2E5",1998,"\N",2758,"1495",1353,"NA"
"4","Honda","Accord","4dr Sdn EX Auto V6","ATF582VNK5U7",1998,"\N",3034,"1748",1403,"NA"
"5","Honda","Accord","2dr Cpe V6 LX Auto","RTSM0YCR4952",1998,"\N",2708,"1505",1280,"NA"
"6","Honda","Accord","4dr Sdn LX Auto","U16N7IOVMSXZ",1998,"\N",2398,"1331",1085,"NA"
"7","Honda","Accord","4dr Sdn EX Manual w/Leather","15ZOZ2Y4AUS7",1999,"\N",4019,"1617",1271,"NA"
"8","Honda","Accord","2dr Cpe EX V6 Auto","3ER6591K6P4A",1999,"\N",3374,"1866",1438,"NA"
"9","Honda","Accord","2dr Cpe EX Auto ULEV","24PLIXK2KLK9",2000,"\N",3352,"1826",1500,"NA"
"10","Honda","Accord","DX Auto","1R3FPJC2NURF",2001,"\N",3295,"1564",1054,"NA"
"11","Honda","Accord","LX Auto","00IS6ZTDLKYL",2002,"\N",4574,"2267",1485,"NA"
"12","Honda","Accord","EX Auto","TQQOGSY55GCW",2002,"\N",4177,"2334",2265,"NA"
"13","Honda","Accord","EX Auto V6 w/Leather/Navi","0CPPZJO2EZBR",2003,"\N",5026,"2929",4339,"5413"
"14","Honda","Accord","EX Auto","K6YXRQV89XEG",2003,"\N",4657,"2805",3377,"5422"
"15","Honda","Accord","EX Auto","R6H4J1FJUIFD",2003,"\N",4636,"2643",4132,"5704"
"16","Honda","Accord","LX Manual w/Side Airbags","10L5AL72DI4K",2004,"\N",6041,"3105",3495,"5229"
"17","Honda","Accord","LX Auto V6","10XR5H9LW6TQ",2004,"\N",5303,"3425",3795,"5447"
"18","Honda","Accord","EX Auto V6 w/Leather/XM","82PJH98MHQ32",2004,"\N",6037,"3605",3908,"6479"
"19","Honda","Accord","EX-L AT PZEV with NAVI","1EAEV3XV7PHA",2005,"\N",5412,"4957",5151,"6303"
"20","Honda","Accord","LX AT PZEV","01AYT6AY5D0J",2006,"\N",6581,"4495",4888,"6730"
"21","Honda","Accord","2dr V6 MT EX-L ULEV","04IOYERHKYV3",2007,"\N",7123,"5940",6544,"7563"
"22","Honda","Accord","4dr I4 MT EX-L","0X19ER6YMCZB",2007,"\N",5549,"5588",7332,"7092"
"23","Honda","Accord","4dr I4 Auto EX","4IFK7T85FZNN",2008,"\N",8761,"7120",7268,"8594"
"24","Honda","Accord","4dr I4 Auto LX","E2VC83WQBCW7",2008,"\N",7214,"6519",7602,"8171"
"25","Honda","Accord","4dr V6 Auto EX-L","0BJOUBOMZZAT",2009,"\N",9273,"9148",9074,"10176"
"26","Honda","Accord","2dr I4 Auto LX-S PZEV","0LJU2W9977V7",2010,"\N",10399,"8495",9233,"9857"
"27","Honda","Accord","4dr V6 Auto EX","7MXVH1TN1SW0",2010,"\N",11157,"9767",10570,"10515"
"28","Honda","Accord","4dr I4 Auto EX","0WHBHDYCERY6",2011,"\N",11547,"10357",10870,"11572"
"29","Honda","Accord","2dr I4 Auto EX-L PZEV","4T1B1LPG9MS2",2011,"\N",12063,"11768",10675,"12139"
"30","Honda","Accord","4dr I4 Auto SE PZEV","1E0TGE8RVQFQ",2012,"\N",10571,"10929",10840,"12361"
"31","Honda","Accord","2dr I4 Auto EX-L","08JBB424ROYT",2013,"\N",13438,"16016",14133,"16148"
"32","Honda","Accord","4dr V6 Auto Touring","18D6AONG7O3A",2014,"\N",19333,"20237",20489,"21207"
"33","Honda","Accord","4dr I4 CVT EX-L PZEV","35HEUKW8XHRX",2015,"\N",16040,"19656",18272,"20149"
"34","Honda","Accord","EX-L V6 Auto PZEV","1REBL1I9NTWL",2017,"\N",27896,"24270",23217,"27387"
"35","Nissan","Altima","4dr Sdn SE Manual","A9GIDJCXPVF0",1999,"\N",1518,"1334",1040,"NA"
"36","Nissan","Altima","4dr Sdn GLE Auto","0N0OHBB67UMG",2001,"\N",2138,"1824",1428,"NA"
"37","Nissan","Altima","4dr Sdn SL Auto","0FTIBVLM77V6",2002,"\N",3716,"2384",2312,"NA"
"38","Nissan","Altima","4dr Sdn SL Auto","42GPQIZ3ZUEX",2003,"\N",4031,"2588",2736,"NA"
"39","Nissan","Altima","4dr Sdn 2.5 SL Auto PZEV","2AHE87GUMP9P",2004,"\N",3509,"2707",3362,"4504"
"40","Nissan","Altima","4dr Sdn I4 Manual 2.5 S","03BKA51CMCYX",2005,"\N",4434,"2897",2543,"NA"
"41","Nissan","Altima","4dr Sdn V6 Auto 3.5 SE-R","C7Q24S09COI9",2005,"\N",5016,"4370",3811,"NA"
"42","Nissan","Altima","4dr Sdn I4 Manual 2.5 S","FBER66EGZ072",2006,"\N",5630,"3268",3036,"NA"
"43","Nissan","Altima","4dr Sdn I4 Auto 2.5 S","OUQGX5B8M7ZD",2006,"\N",3882,"3328",3302,"NA"
"44","Nissan","Altima","4dr Sdn V6 Auto 3.5 SE","WMN6ETTGAJKV",2006,"\N",4683,"3812",3553,"NA"
"45","Nissan","Altima","4dr Sdn V6 CVT 3.5 SL","37QCMLG4NW0B",2007,"\N",6381,"5426",5650,"6886"
"46","Nissan","Altima","4dr Sdn I4 CVT 2.5 S","CCBTH2OBWN2Y",2007,"\N",4430,"4615",5031,"6252"
"47","Nissan","Altima","4dr Sdn I4 CVT 2.5 SL","00YD96VE4A2X",2008,"\N",6920,"5224",6736,"6916"
"48","Nissan","Altima","2dr Cpe I4 CVT 2.5 S ULEV","R8IFVWCB75UH",2008,"\N",5289,"5261",5584,"7408"
"49","Nissan","Altima","4dr Sdn V6 Man 3.5 SE","0DU3DJ25NCZD",2009,"\N",7534,"6675",7715,"8788"
"50","Nissan","Altima","4dr Sdn I4 CVT 2.5 S","66F2BWQ985UX",2009,"\N",6001,"5834",6063,"7656"
"51","Nissan","Altima","4dr Sdn I4 CVT 2.5 SL","BXP2K75BTGTT",2009,"\N",7817,"7297",7954,"7616"
"52","Nissan","Altima","4dr Sdn I4 CVT 2.5","HCNAJ7S01MNM",2009,"\N",7446,"5771",6385,"7493"
"53","Nissan","Altima","4dr Sdn I4 CVT 2.5 SL","1Z9C6TN9XISE",2010,"\N",8749,"6701",7414,"9262"
"54","Nissan","Altima","4dr Sdn I4 CVT 2.5 S","X9XFY962ENPU",2010,"\N",6876,"6866",7018,"8671"
