"","Make","Model","Style","Year","RealPrice","Edmund's Price","KBB","CarGuru"
"1","AM General","Hummer","4-Passenger Hard Top",2001,9507,NA,NA,NA
"2","AM General","Hummer","4-Passenger Wgn Enclosed",2000,8296,31124,NA,NA
"3","AM General","Hummer","4-Passenger Hard Top",2000,7945,30166,NA,"77858"
"4","Ferrari","430 Scuderia","2dr Convertible Spider",2008,53582,NA,NA,"227157"
"5","Ferrari","California","2dr Conv",2014,135921,NA,NA,"144551"
"6","Ferrari","488 GTB","2dr Cpe",2016,245400,NA,NA,"284319"
"7","Maserati","Levante","S 3.0L",2017,72831,NA,66730,"78165"
"8","Maserati","Ghibli","4dr Sdn S Q4",2016,55211,NA,50111,"53336"
"9","Maserati","Quattroporte","GTS GranLusso 3.8L",2017,130950,NA,71992,NA
"10","Plymouth","Voyager","4dr Grand Base 119"" WB",1999,1752,1469,1871,NA
"11","Plymouth","Neon","4dr Sdn Highline",2000,1173,1299,1430,NA
"12","Plymouth","Voyager","3dr Grand Base 119"" WB",1997,1195,1330,1866,NA
"13","Saab","42983","4dr Wgn Linear",2004,4920,NA,3381,NA
"14","Saab","42983","4dr Sdn Aero",2004,6029,NA,3397,NA
"15","Saab","42981","4dr Sport Sdn Aero",2005,5614,NA,2765,NA
"16","Alfa Romeo","4C","Coupe",2017,55900,NA,NA,NA
"17","Alfa Romeo","4C","2dr Conv Spider",2015,37640,50079,NA,"53349"
"18","Alfa Romeo","Giulia","AWD",2017,35996,34183,NA,NA
"19","Aston Martin","DBS","2dr Cpe",2008,64601,NA,NA,"117342"
"20","Aston Martin","DB7","2dr Cpe GTA Auto",2003,21418,NA,NA,NA
"21","Aston Martin","Rapide S","4dr Sdn Auto",2016,175371,NA,NA,"134166"
"22","Bentley","Continental","2dr Cpe GT",2004,22687,NA,NA,"35252"
"23","Bentley","Continental Flying Spur","4dr Sdn",2008,42161,NA,NA,"57385"
"24","Bentley","Bentayga","W12 AWD",2017,206190,NA,NA,NA
